filename,blue_percentage,black_percentage
629.webp,0.0265,89.9200
63.webp,0.0180,89.9249
630.webp,0.0242,89.9234
631.webp,0.0124,89.9221
632.webp,0.0431,89.9175
633.webp,0.0087,89.9239
634.webp,0.0315,89.9160
635.webp,0.0251,89.9261
636.webp,0.0096,89.9403
637.webp,0.0236,90.0414
638.webp,0.0252,89.9210
639.webp,0.0221,89.9193
64.webp,0.0262,89.9208
640.webp,0.0184,90.1529
641.webp,0.0159,89.9225
642.webp,0.0132,89.9179
643.webp,0.0937,90.1526
644.webp,0.0190,89.9199
645.webp,0.0227,89.9203
646.webp,0.0109,89.9169
647.webp,0.0167,90.0374
648.webp,0.0512,89.9178
649.webp,0.0924,90.0297
65.webp,0.0235,89.9219
650.webp,0.0455,90.0453
651.webp,1.4583,90.1520
652.webp,0.0165,89.9265
653.webp,0.0095,89.9242
654.webp,0.0402,89.9159
655.webp,0.0052,89.9231
656.webp,0.0238,90.1542
657.webp,0.0119,89.9212
658.webp,0.0116,90.0368
659.webp,0.0124,89.9248
66.webp,2.1460,90.0365
660.webp,0.0348,89.9209
661.webp,0.0216,89.9144
662.webp,0.0074,89.9221
663.webp,0.0240,89.9169
664.webp,0.0118,89.9183
665.webp,0.0133,89.9178
666.webp,0.0085,89.9207
667.webp,0.0094,89.9323
668.webp,0.7730,89.9188
669.webp,0.0437,89.9276
67.webp,2.2111,90.1529
670.webp,0.0259,89.9202
671.webp,0.0152,89.9206
672.webp,0.0083,89.9216
673.webp,0.4389,90.0364
674.webp,2.2998,90.1485
675.webp,0.0096,90.1553
676.webp,0.0105,89.9388
677.webp,0.0106,89.9178
678.webp,0.0080,89.9301
679.webp,0.0367,90.0350
68.webp,0.0233,89.9264
680.webp,0.0242,89.9183
681.webp,0.0115,89.9282
682.webp,0.0340,89.9178
683.webp,0.0133,89.9294
684.webp,0.0273,89.9206
685.webp,0.0315,89.9218
686.webp,0.0250,90.0368
687.webp,0.0099,89.9354
688.webp,0.0112,89.9190
689.webp,0.0350,89.9224
69.webp,2.3083,90.0313
690.webp,0.0170,89.9196
691.webp,0.0212,90.1560
692.webp,0.0197,89.9269
693.webp,0.0242,89.9198
694.webp,0.0118,90.0440
695.webp,2.0193,90.1541
696.webp,0.3519,89.9172
697.webp,0.0244,89.9242
698.webp,0.0378,90.0338
699.webp,0.0205,89.9227
7.webp,0.0452,89.9196
70.webp,0.0330,89.9190
700.webp,0.0110,89.9370
701.webp,0.3609,89.9218
702.webp,0.0213,89.9227
703.webp,0.0110,89.9248
704.webp,2.5284,89.9176
705.webp,0.0094,89.9223
706.webp,0.0077,90.1605
707.webp,0.0097,89.9190
708.webp,0.0458,89.9155
709.webp,0.0327,89.9240
71.webp,0.0098,90.0498
710.webp,0.0095,89.9286
711.webp,0.1907,89.9177
712.webp,0.0132,89.9228
713.webp,0.0102,89.9277
714.webp,0.0074,89.9416
715.webp,0.0182,90.1510
716.webp,0.0170,89.9218
717.webp,0.0106,89.9193
718.webp,0.0802,89.9177
719.webp,0.0234,89.9192
72.webp,0.0098,89.9315
720.webp,0.0284,90.0362
721.webp,0.1551,89.9177
722.webp,0.0070,89.9245
723.webp,2.4407,90.0321
724.webp,0.0311,89.9199
725.webp,0.2723,89.9165
726.webp,0.0191,89.9222
727.webp,0.0066,89.9264
728.webp,0.0083,89.9314
729.webp,0.0243,90.0395
73.webp,0.0191,89.9218
730.webp,1.0253,89.9171
731.webp,0.0176,89.9264
732.webp,0.0089,89.9262
733.webp,0.0163,89.9201
734.webp,0.0081,89.9268
735.webp,0.0204,90.1574
736.webp,0.0251,90.0354
737.webp,0.0273,89.9205
738.webp,0.0126,90.0359
739.webp,0.0426,89.9165
74.webp,0.0246,89.9222
740.webp,0.0071,90.0428
741.webp,0.0175,89.9180
742.webp,0.0062,89.9273
743.webp,0.0253,89.9238
744.webp,0.0180,89.9188
745.webp,0.0105,89.9247
746.webp,0.0122,90.0433
747.webp,0.0081,89.9350
748.webp,0.0092,90.0490
749.webp,0.0154,89.9228
75.webp,0.0190,89.9196
750.webp,0.0091,89.9267
751.webp,0.0077,89.9334
752.webp,0.2034,89.9154
753.webp,0.0238,89.9276
754.webp,0.0223,89.9164
755.webp,0.0377,89.9217
756.webp,0.0258,89.9210
757.webp,0.0204,89.9219
758.webp,0.0143,89.9318
759.webp,0.0074,90.1596
76.webp,0.0105,89.9238
760.webp,0.0284,89.9210
761.webp,0.0117,89.9286
